code,section,domain,label_fr,periods,age_routes,response_scale,required_for_completion
A1.01,A,A1,"Difficulté à initier un échange sans objectif concret",current|childhood,child|adolescent|adult,0-4|unknown|NA,false
A1.02,A,A1,"Difficulté à maintenir un échange réciproque",current|childhood,child|adolescent|adult,0-4|unknown|NA,false
A1.03,A,A1,"Difficulté à partager spontanément intérêts, plaisir ou émotions",current|childhood,toddler|child|adolescent|adult,0-4|unknown|NA,false
A1.04,A,A1,"Réponses sociales perçues comme trop faibles, trop intenses ou décalées",current|childhood,toddler|child|adolescent|adult,0-4|unknown|NA,false
A1.05,A,A1,"Tendance à trop se confier ou à ne presque rien partager",current|childhood,adolescent|adult,0-4|unknown|NA,false
A1.06,A,A1,"Fatigue ou saturation rapide pendant les interactions",current|childhood,child|adolescent|adult,0-4|unknown|NA,false
A2.01,A,A2,"Contact visuel inconfortable, évité, forcé ou difficile à doser",current|childhood,toddler|child|adolescent|adult,0-4|unknown|NA,false
A2.02,A,A2,"Difficulté à interpréter expressions faciales, posture, gestes ou ton de voix",current|childhood,child|adolescent|adult,0-4|unknown|NA,false
A2.03,A,A2,"Décalage entre contenu verbal et expression non verbale",current|childhood,child|adolescent|adult,0-4|unknown|NA,false
A2.04,A,A2,"Difficulté à utiliser spontanément les gestes pour communiquer",current|childhood,toddler|child|adolescent|adult,0-4|unknown|NA,false
A2.05,A,A2,"Expression faciale ou prosodie jugée inhabituelle",current|childhood,child|adolescent|adult,0-4|unknown|NA,false
A2.06,A,A2,"Besoin de contrôler consciemment regard, posture ou expressions",current,adolescent|adult,0-4|unknown|NA,false
A3.01,A,A3,"Difficulté à se faire des amis ou à comprendre la construction d'une relation",current|childhood,child|adolescent|adult,0-4|unknown|NA,false
A3.02,A,A3,"Difficulté à entretenir les liens sans raison pratique",current,adolescent|adult,0-4|unknown|NA,false
A3.03,A,A3,"Difficulté à adapter le comportement à différents contextes sociaux",current|childhood,child|adolescent|adult,0-4|unknown|NA,false
A3.04,A,A3,"Compréhension tardive des faux pas ou attentes implicites",current|childhood,child|adolescent|adult,0-4|unknown|NA,false
A3.05,A,A3,"Difficulté avec les conversations informelles, rites sociaux ou politesses",current|childhood,adolescent|adult,0-4|unknown|NA,false
A3.06,A,A3,"Préférence pour des relations structurées ou centrées sur un intérêt",current|childhood,child|adolescent|adult,0-4|unknown|NA,false
B1.01,B,B1,"Gestes répétitifs, balancements, tapotements ou manipulation constante d'objets",current|childhood,toddler|child|adolescent|adult,0-4|unknown|NA,false
B1.02,B,B1,"Répétition de mots, phrases, sons, dialogues ou mélodies",current|childhood,toddler|child|adolescent|adult,0-4|unknown|NA,false
B1.03,B,B1,"Jeux ou scénarios répétitifs et peu variables",current|childhood,toddler|child|adolescent|adult,0-4|unknown|NA,false
B1.04,B,B1,"Besoin d'aligner, classer ou disposer certains objets précisément",current|childhood,toddler|child|adolescent|adult,0-4|unknown|NA,false
B1.05,B,B1,"Comportements répétitifs utilisés pour se calmer ou se concentrer",current|childhood,child|adolescent|adult,0-4|unknown|NA,false
